Product_ID,Product,Price_20kg,Stock
1000,Mango,724,795
1001,Banana,801,563
1002,Guava,731,936
1003,Pomegranate,587,544
1004,Papaya,740,988
1005,Jackfruit,851,693
1006,Sapota,695,908
1007,Custard Apple,612,979
1008,Indian Gooseberry,915,576
1009,Lychee,936,977
1010,Pineapple,1000,526
1011,Grapes,719,889
1012,Watermelon,525,691
1013,Orange,847,957
1014,Apple,573,995
1015,Pear,831,851
1016,Plum,504,980
1017,Apricot,968,620
1018,Fig,837,871
1019,Okra,505,726
1020,Brinjal,709,760
1021,Tomato,612,866
1022,Onion,815,749
1023,Potato,701,782
1024,Cauliflower,608,848
1025,Spinach,503,675
1026,Lady's Finger,949,665
1027,Radish,598,740
1028,Carrot,661,887
1029,Cabbage,967,609
1030,Chilli,694,744
1031,Bitter Gourd,719,719
1032,Ridge Gourd,658,995
1033,Coriander Leaves,610,843
1034,Bottle Gourd,803,868
1035,Green Peas,815,927
1036,Green Beans,910,783
1037,Drumstick,567,703
1038,Beetroot,770,771
1039,Cucumber,709,699
1040,Pumpkin,845,501
1041,Turnip,858,814
1042,Sweet Potato,803,738
1043,Amaranth,645,887
1044,Cluster Beans,999,885
1045,Snake Gourd,843,911
1046,Lemon,509,566
1047,Ginger,662,807
1048,Garlic,753,842
1049,Green Bell Pepper,913,690
1050,Ash Gourd,764,985
1051,Fenugreek Leaves,957,513
1052,Mint Leaves,516,783
1053,Curry Leaves,847,505
1054,Radish Leaves,697,815
1055,Mustard Leaves,969,677
1056,Pointed Gourd,756,540
1057,Red Bell Pepper,894,810
1058,Turmeric,823,977
1059,Black Eyed Peas,807,657
1060,Elephant Foot Yam,925,585
1061,Taro Root,862,926
1062,Arbi,735,565
1063,Bottle Gourd Leaves,540,853
1064,Red Pumpkin,810,958
1065,Cluster Fig,910,796
1066,Ridge Gourd Leaves,898,667
1067,Colocasia Leaves,638,521
1068,Banana Flower,953,799
1069,Ivy Gourd,505,679
1070,Malabar Spinach,768,677
1071,Yardlong Bean,794,582
1072,Chayote,652,561
1073,Black Cumin Seeds,746,627
1074,Green Sorrel,912,531
1075,Jute Mallow,880,683
1076,Water Spinach,771,672
1077,Amaranth Leaves,844,562
1078,Dill Leaves,980,555
1079,Purslane,687,514
1080,Fenugreek Seeds,844,634
1081,Cluster Fig Leaves,818,566
1082,Curry Plant,816,825
1083,Black Gram,649,998
1084,Lentils,705,843
1085,Chickpeas,755,723
1086,Pigeon Peas,998,589
1087,Green Gram,975,971
