Product_ID,Product,Price_20kg,Stock
1000,Mango,783,599
1001,Banana,652,772
1002,Guava,819,602
1003,Pomegranate,617,535
1004,Papaya,736,501
1005,Jackfruit,740,506
1006,Sapota,575,795
1007,Custard Apple,728,898
1008,Indian Gooseberry,857,543
1009,Lychee,721,611
1010,Pineapple,760,677
1011,Grapes,948,650
1012,Watermelon,992,750
1013,Orange,966,643
1014,Apple,977,676
1015,Pear,770,695
1016,Plum,741,860
1017,Apricot,707,779
1018,Fig,690,991
1019,Okra,527,824
1020,Brinjal,930,953
1021,Tomato,671,708
1022,Onion,876,873
1023,Potato,683,745
1024,Cauliflower,967,649
1025,Spinach,558,813
1026,Lady's Finger,882,738
1027,Radish,761,603
1028,Carrot,676,885
1029,Cabbage,998,605
1030,Chilli,660,745
1031,Bitter Gourd,853,931
1032,Ridge Gourd,742,866
1033,Coriander Leaves,774,763
1034,Bottle Gourd,505,585
1035,Green Peas,548,914
1036,Green Beans,727,859
1037,Drumstick,746,672
1038,Beetroot,669,798
1039,Cucumber,950,995
1040,Pumpkin,961,786
1041,Turnip,644,742
1042,Sweet Potato,976,782
1043,Amaranth,630,788
1044,Cluster Beans,922,802
1045,Snake Gourd,571,548
1046,Lemon,762,504
1047,Ginger,869,793
1048,Garlic,523,610
1049,Green Bell Pepper,540,885
1050,Ash Gourd,600,788
1051,Fenugreek Leaves,680,772
1052,Mint Leaves,736,775
1053,Curry Leaves,549,630
1054,Radish Leaves,938,921
1055,Mustard Leaves,658,779
1056,Pointed Gourd,655,883
1057,Red Bell Pepper,774,610
1058,Turmeric,651,817
1059,Black Eyed Peas,818,865
1060,Elephant Foot Yam,905,995
1061,Taro Root,947,923
1062,Arbi,971,981
1063,Bottle Gourd Leaves,923,963
1064,Red Pumpkin,731,698
1065,Cluster Fig,638,904
1066,Ridge Gourd Leaves,987,820
1067,Colocasia Leaves,741,666
1068,Banana Flower,803,879
1069,Ivy Gourd,779,796
1070,Malabar Spinach,839,617
1071,Yardlong Bean,866,802
1072,Chayote,649,633
1073,Black Cumin Seeds,516,782
1074,Green Sorrel,744,725
1075,Jute Mallow,830,845
1076,Water Spinach,845,682
1077,Amaranth Leaves,562,552
1078,Dill Leaves,902,898
1079,Purslane,790,928
1080,Fenugreek Seeds,612,668
1081,Cluster Fig Leaves,699,684
1082,Curry Plant,940,723
1083,Black Gram,979,923
1084,Lentils,776,822
1085,Chickpeas,615,600
1086,Pigeon Peas,914,952
1087,Green Gram,566,708
