Product_ID,Product,Price_20kg,Stock
1000,Mango,562,744
1001,Banana,856,568
1002,Guava,869,811
1003,Pomegranate,913,838
1004,Papaya,882,973
1005,Jackfruit,780,532
1006,Sapota,847,605
1007,Custard Apple,962,902
1008,Indian Gooseberry,615,621
1009,Lychee,839,846
1010,Pineapple,719,772
1011,Grapes,823,806
1012,Watermelon,891,637
1013,Orange,775,597
1014,Apple,943,716
1015,Pear,979,973
1016,Plum,676,810
1017,Apricot,957,599
1018,Fig,683,574
1019,Okra,740,743
1020,Brinjal,751,772
1021,Tomato,790,702
1022,Onion,926,743
1023,Potato,717,840
1024,Cauliflower,676,586
1025,Spinach,737,900
1026,Lady's Finger,956,727
1027,Radish,931,679
1028,Carrot,524,864
1029,Cabbage,956,771
1030,Chilli,886,732
1031,Bitter Gourd,962,972
1032,Ridge Gourd,703,788
1033,Coriander Leaves,679,835
1034,Bottle Gourd,667,642
1035,Green Peas,866,838
1036,Green Beans,751,513
1037,Drumstick,844,645
1038,Beetroot,562,704
1039,Cucumber,600,971
1040,Pumpkin,722,743
1041,Turnip,935,969
1042,Sweet Potato,994,891
1043,Amaranth,574,854
1044,Cluster Beans,786,947
1045,Snake Gourd,638,555
1046,Lemon,836,983
1047,Ginger,785,993
1048,Garlic,949,571
1049,Green Bell Pepper,963,919
1050,Ash Gourd,829,600
1051,Fenugreek Leaves,897,714
1052,Mint Leaves,828,699
1053,Curry Leaves,678,689
1054,Radish Leaves,981,821
1055,Mustard Leaves,611,620
1056,Pointed Gourd,578,540
1057,Red Bell Pepper,530,988
1058,Turmeric,932,975
1059,Black Eyed Peas,822,721
1060,Elephant Foot Yam,871,959
1061,Taro Root,639,601
1062,Arbi,928,928
1063,Bottle Gourd Leaves,884,608
1064,Red Pumpkin,703,733
1065,Cluster Fig,823,850
1066,Ridge Gourd Leaves,848,894
1067,Colocasia Leaves,668,780
1068,Banana Flower,528,666
1069,Ivy Gourd,827,839
1070,Malabar Spinach,502,820
1071,Yardlong Bean,805,857
1072,Chayote,956,854
1073,Black Cumin Seeds,845,682
1074,Green Sorrel,509,804
1075,Jute Mallow,548,663
1076,Water Spinach,610,705
1077,Amaranth Leaves,955,977
1078,Dill Leaves,721,933
1079,Purslane,860,734
1080,Fenugreek Seeds,685,830
1081,Cluster Fig Leaves,850,617
1082,Curry Plant,983,785
1083,Black Gram,864,673
1084,Lentils,942,730
1085,Chickpeas,528,518
1086,Pigeon Peas,920,669
1087,Green Gram,668,578
